ds,y
2010-01-01,3723
2010-02-01,3492
2010-03-01,3900
2010-04-01,3670
2010-05-01,3809
2010-06-01,3634
2010-07-01,3758
2010-08-01,3680
2010-09-01,3583
2010-10-01,4050
2010-11-01,3725
2010-12-01,4074
2011-01-01,3506
2011-02-01,3602
2011-03-01,3984
2011-04-01,3657
2011-05-01,3714
2011-06-01,3647
2011-07-01,3846
2011-08-01,3929
2011-09-01,3821
2011-10-01,3998
2011-11-01,3739
2011-12-01,3833
2012-01-01,3719
2012-02-01,3598
2012-03-01,4179
2012-04-01,3738
2012-05-01,3764
2012-06-01,3679
2012-07-01,3686
2012-08-01,3951
2012-09-01,3796
2012-10-01,4024
2012-11-01,3612
2012-12-01,3658
2013-01-01,3572
2013-02-01,3360
2013-03-01,3860
2013-04-01,3739
2013-05-01,3881
2013-06-01,3578
2013-07-01,3646
2013-08-01,4032
2013-09-01,3745
2013-10-01,4127
2013-11-01,3795
2013-12-01,3700
2014-01-01,3586
2014-02-01,3502
2014-03-01,3879
2014-04-01,3700
2014-05-01,3887
2014-06-01,3906
2014-07-01,3839
2014-08-01,4183
2014-09-01,4111
2014-10-01,4292
2014-11-01,3882
2014-12-01,4184
2015-01-01,4101
2015-02-01,3915
2015-03-01,4457
2015-04-01,4217
2015-05-01,4258
2015-06-01,4183
2015-07-01,4313
2015-08-01,4705
2015-09-01,4467
2015-10-01,4814
2015-11-01,4471
2015-12-01,4585
2016-01-01,4178
2016-02-01,4529
2016-03-01,4688
2016-04-01,4730
2016-05-01,4625
2016-06-01,4819
2016-07-01,4673
2016-08-01,4961
2016-09-01,4837
2016-10-01,4923
2016-11-01,4634
2016-12-01,4935
2017-01-01,4518
2017-02-01,4312
2017-03-01,5079
2017-04-01,4681
2017-05-01,4849
2017-06-01,4762
2017-07-01,4808
2017-08-01,4986
2017-09-01,4660
2017-10-01,5285
2017-11-01,4856
2017-12-01,4930
2018-01-01,4593
2018-02-01,4476
2018-03-01,4927
2018-04-01,4688
2018-05-01,4580
2018-06-01,4649
2018-07-01,4918
2018-08-01,5006
2018-09-01,4706
2018-10-01,5201
2018-11-01,4780
2018-12-01,4635
2019-01-01,4548
2019-02-01,4420
2019-03-01,4929
2019-04-01,4527
2019-05-01,4668
2019-06-01,4491
2019-07-01,4864
2019-08-01,4951
2019-09-01,4911
2019-10-01,5063
2019-11-01,4594
2019-12-01,4660
2020-01-01,4291
2020-02-01,4570
2020-03-01,3641
2020-04-01,2429
2020-05-01,2969
2020-06-01,3010
2020-07-01,3535
2020-08-01,3703
2020-09-01,3672
2020-10-01,3740
2020-11-01,3386
2020-12-01,3234
